budget,imdb_score,Count
13000000,1.6,1
65000000,1.7,1
1000000,1.9,1
20000000,1.9,1
25000000,1.9,1
7000000,2,1
24000000,2,1
5600000,2.1,1
12000000,2.1,1
22000000,2.1,1
NULL,2.2,1
1000000,2.2,1
84000000,2.2,1
10000000,2.3,1
20000000,2.3,2
44000000,2.4,1
54000000,2.4,1
NULL,2.5,1
18000000,2.5,1
1100000,2.6,1
3000000,2.6,1
1300000,2.7,1
8000000,2.7,1
20000000,2.7,1
30000000,2.7,1
45000000,2.7,1
48000000,2.7,1
NULL,2.8,1
1000000,2.8,1
1500000,2.8,1
12000000,2.8,1
15000000,2.8,1
16000000,2.8,1
20000000,2.8,2
23000000,2.8,1
3000000,2.9,1
6000000,2.9,1
25000000,2.9,2
17350,3,1
1100000,3,1
3000000,3,1
17000000,3,1
70000000,3,1
750000,3.1,1
1500000,3.1,1
2500000,3.1,1
3440000,3.1,1
4000000,3.1,1
7500000,3.1,1
16000000,3.1,2
NULL,3.2,1
20000,3.2,1
40000,3.2,1
100000,3.2,1
350000,3.2,1
3000000,3.2,1
4700000,3.2,1
NULL,3.3,1
22000,3.3,1
1000000,3.3,1
1500000,3.3,2
2000000,3.3,1
3000000,3.3,1
3500000,3.3,1
5000000,3.3,1
6200000,3.3,1
10000000,3.3,1
12000000,3.3,2
16000000,3.3,1
25000000,3.3,1
42000000,3.3,1
100000000,3.3,1
NULL,3.4,3
60000,3.4,1
350000,3.4,1
1000000,3.4,1
1250000,3.4,1
1800000,3.4,1
2000000,3.4,1
5000000,3.4,1
19000000,3.4,1
79000000,3.4,1
NULL,3.5,3
500000,3.5,1
1000000,3.5,1
5000000,3.5,2
7500000,3.5,1
8000000,3.5,1
10000000,3.5,1
20000000,3.5,3
25000000,3.5,1
50000000,3.5,1
NULL,3.6,2
100000,3.6,1
1000000,3.6,1
2000000,3.6,1
6500000,3.6,1
10000000,3.6,1
13400000,3.6,1
17000000,3.6,1
19000000,3.6,1
27000000,3.6,1
35000000,3.6,1
60000000,3.6,1
70000000,3.6,1
NULL,3.7,1
50000,3.7,1
14000000,3.7,1
15000000,3.7,1
18000000,3.7,1
20000000,3.7,1
30000000,3.7,1
125000000,3.7,1
160000000,3.7,1
NULL,3.8,1
1000000,3.8,1
1200000,3.8,1
5000000,3.8,1
6000000,3.8,1
10000000,3.8,1
13000000,3.8,1
22000000,3.8,1
35000000,3.8,2
60000000,3.8,1
62000000,3.8,1
100000000,3.8,1
109000000,3.8,1
NULL,3.9,1
250000,3.9,1
625000,3.9,1
1000000,3.9,1
2450000,3.9,1
3000000,3.9,1
3500000,3.9,1
10000000,3.9,1
13000000,3.9,1
14000000,3.9,1
20000000,3.9,1
23500000,3.9,1
24000000,3.9,1
27000000,3.9,1
NULL,4,3
20000,4,1
100000,4,1
150000,4,1
250000,4,1
3000000,4,1
5000000,4,1
6000000,4,1
